Coupon_id,early,mid,late
2088,0.3333333333333333,0.0,0.6666666666666666
6194,0.0,0.0,1.0
5925,0.5,0.0,0.5
4937,1.0,0.0,0.0
3959,0.3157894736842105,0.39473684210526316,0.2894736842105263
2162,0.5,0.0,0.5
8433,0.0,0.4,0.6
2069,0.037037037037037035,0.0,0.9629629629629629
467,0.0,1.0,0.0
12847,0.0,1.0,0.0
1512,0.5,0.0,0.5
9586,0.0,0.14285714285714285,0.8571428571428571
6731,0.0,0.75,0.25
5325,1.0,0.0,0.0
11332,0.0,0.0,1.0
9993,0.0,1.0,0.0
829,0.5,0.0,0.5
9407,1.0,0.0,0.0
12888,0.7692307692307693,0.0,0.23076923076923078
9308,0.0,1.0,0.0
9032,0.5,0.0,0.5
11205,1.0,0.0,0.0
1372,0.0,1.0,0.0
3650,0.0,0.6666666666666666,0.3333333333333333
3826,0.0,0.0,1.0
5523,0.0,0.0,1.0
5067,0.25,0.5,0.25
2110,0.0,1.0,0.0
9975,0.5,0.0,0.5
1669,0.0,0.0,1.0
4975,0.0,0.5,0.5
944,0.0,0.0,1.0
4838,0.0,0.0,1.0
3281,0.0,0.0,1.0
1808,0.2222222222222222,0.3333333333333333,0.4444444444444444
7487,0.39705882352941174,0.23529411764705882,0.36764705882352944
3200,0.6,0.0,0.4
11106,0.125,0.0,0.875
5913,0.0,0.5,0.5
7263,1.0,0.0,0.0
2898,1.0,0.0,0.0
926,0.0,0.0,1.0
6081,1.0,0.0,0.0
12104,0.0,0.0,1.0
8832,0.0,0.6666666666666666,0.3333333333333333
13395,1.0,0.0,0.0
11667,0.0,1.0,0.0
14000,0.3333333333333333,0.0,0.6666666666666666
1265,0.5,0.0,0.5
3526,0.0,0.3333333333333333,0.6666666666666666
6900,0.0,1.0,0.0
5234,0.29411764705882354,0.23529411764705882,0.47058823529411764
3121,0.2222222222222222,0.3333333333333333,0.4444444444444444
6820,0.0,0.5,0.5
2888,0.5,0.16666666666666666,0.3333333333333333
9344,0.5,0.0,0.5
51,0.0,0.3333333333333333,0.6666666666666666
7616,0.0,0.0,1.0
10993,0.08333333333333333,0.0,0.9166666666666666
1903,0.75,0.0,0.25
9835,0.0625,0.0,0.9375
6850,0.1724137931034483,0.0,0.8275862068965517
3652,0.6666666666666666,0.0,0.3333333333333333
5297,0.3333333333333333,0.0,0.6666666666666666
